date,campaign_id,campaign_name,campaign_profile,channel,region,device,impressions,clicks,conversions,spend,revenue,budget,ctr_sql,cvr_sql,cpa_sql,roi_sql,budget_utilization,anomaly_flag,rolling_spend_mean_7,rolling_ctr_mean_7,rolling_cvr_mean_7,rolling_roi_mean_7,spend_spike_flag,ctr_drop_flag,cvr_drop_flag,negative_roi_flag,python_anomaly_score,python_anomaly_label
2024-03-01,1,Campaign_1,unstable,Display,West,Mobile,21588,847,74,1529.39,7701.02,3955.04,0.0392,0.0874,20.67,4.04,0.3867,CTR Drop,2134.3485714285716,0.0627,0.0920857142857143,4.607142857142857,0,1,0,0,1,Moderate
2024-03-02,1,Campaign_1,unstable,Display,West,Mobile,21337,747,60,918.83,4851.36,1146.0,0.035,0.0803,15.31,4.28,0.8018,,1963.2785714285715,0.05527142857142857,0.09260000000000002,4.642857142857143,0,1,0,0,1,Moderate
2024-03-03,1,Campaign_1,unstable,Display,West,Mobile,26837,606,36,797.99,2959.01,931.84,0.0226,0.0594,22.17,2.71,0.8564,,1730.9271428571428,0.045785714285714284,0.083,3.397142857142857,0,1,0,0,1,Moderate
2024-03-04,1,Campaign_1,unstable,Display,West,Mobile,24677,2368,260,3836.45,18012.02,5114.69,0.096,0.1098,14.76,3.69,0.7501,,2062.505714285714,0.047771428571428576,0.08571428571428573,3.062857142857143,1,0,0,0,1,Moderate
2024-03-05,1,Campaign_1,unstable,Display,West,Mobile,13015,652,77,1421.96,3890.75,1775.36,0.0501,0.1181,18.47,1.74,0.8009,,1893.3685714285714,0.04554285714285715,0.08665714285714286,2.6142857142857143,0,0,0,0,0,Normal
2024-03-06,1,Campaign_1,unstable,Display,West,Mobile,18938,1240,18,936.49,888.65,1083.4,0.0655,0.0145,52.03,-0.05,0.8644,Conversion Drop,1531.8157142857144,0.047757142857142866,0.08004285714285715,2.662857142857143,0,0,1,1,2,Moderate
2024-03-07,1,Campaign_1,unstable,Display,West,Mobile,21860,2180,198,4040.59,21014.45,5302.92,0.0997,0.0908,20.41,4.2,0.762,,1925.957142857143,0.058300000000000005,0.08004285714285715,2.944285714285715,1,0,0,0,1,Moderate
2024-03-08,1,Campaign_1,unstable,Display,West,Mobile,17997,346,26,349.75,2638.36,939.63,0.0192,0.0751,13.45,6.54,0.3722,CTR Drop,1757.4371428571428,0.05544285714285714,0.07828571428571429,3.301428571428571,0,1,0,0,1,Moderate
2024-03-09,1,Campaign_1,unstable,Display,West,Mobile,22357,1934,123,3722.14,13254.25,4347.43,0.0865,0.0636,30.26,2.56,0.8562,,2157.91,0.0628,0.0759,3.055714285714285,0,0,0,0,0,Normal
2024-03-10,1,Campaign_1,unstable,Display,West,Mobile,27254,2191,215,8274.73,11805.11,9664.75,0.0804,0.0981,38.49,0.43,0.8562,Spend Spike,3226.0157142857142,0.07105714285714286,0.08142857142857143,2.73,1,0,0,0,1,Moderate
2024-03-11,1,Campaign_1,unstable,Display,West,Mobile,18941,1219,48,2181.52,3759.42,2645.59,0.0644,0.0394,45.45,0.72,0.8246,,2989.5971428571424,0.06654285714285714,0.07137142857142857,2.3057142857142856,0,0,1,0,1,Moderate
2024-03-12,1,Campaign_1,unstable,Display,West,Mobile,22320,2141,98,4474.44,7295.92,5575.18,0.0959,0.0458,45.66,0.63,0.8026,,3425.665714285714,0.07308571428571428,0.06104285714285714,2.1471428571428572,0,0,0,0,0,Normal
2024-03-13,1,Campaign_1,unstable,Display,West,Mobile,26388,1261,66,1979.11,4218.02,2442.85,0.0478,0.0523,29.99,1.13,0.8102,,3574.6114285714284,0.07055714285714286,0.06644285714285715,2.315714285714286,0,1,0,0,1,Moderate
2024-03-14,1,Campaign_1,unstable,Display,West,Mobile,18090,562,56,546.72,3595.02,723.97,0.0311,0.0996,9.76,5.58,0.7552,,3075.4871428571423,0.06075714285714285,0.0677,2.512857142857143,0,1,0,0,1,Moderate
2024-03-15,1,Campaign_1,unstable,Display,West,Mobile,22161,852,62,1646.65,3977.66,3463.82,0.0384,0.0728,26.56,1.42,0.4754,CTR Drop,3260.758571428571,0.0635,0.06737142857142857,1.7814285714285714,0,1,0,0,1,Moderate
2024-03-16,1,Campaign_1,unstable,Display,West,Mobile,22160,1335,65,1013.22,6237.32,1273.59,0.0602,0.0487,15.59,5.16,0.7956,Conversion Drop,2873.7699999999995,0.059742857142857146,0.06524285714285714,2.152857142857143,0,0,0,0,0,Normal
2024-03-17,1,Campaign_1,unstable,Display,West,Mobile,16432,692,82,1261.09,4339.15,1453.2,0.0421,0.1185,15.38,2.44,0.8678,,1871.8214285714287,0.05427142857142857,0.06815714285714285,2.44,0,0,0,0,0,Normal
2024-03-18,1,Campaign_1,unstable,Display,West,Mobile,20150,1259,137,999.03,6896.82,1217.71,0.0625,0.1088,7.29,5.9,0.8204,,1702.8942857142854,0.054,0.07807142857142857,3.18,0,0,0,0,0,Normal
2024-03-19,1,Campaign_1,unstable,Display,West,Mobile,17870,400,50,492.49,3390.07,554.65,0.0224,0.125,9.85,5.88,0.8879,,1134.0442857142857,0.0435,0.08938571428571428,3.9299999999999997,0,1,0,0,1,Moderate
2024-03-20,1,Campaign_1,unstable,Display,West,Mobile,13062,597,31,711.17,1499.88,940.62,0.0457,0.0519,22.94,1.11,0.7561,,952.91,0.0432,0.08932857142857142,3.927142857142857,0,0,1,0,1,Moderate
2024-03-21,1,Campaign_1,unstable,Display,West,Mobile,20258,1456,120,2295.09,10989.31,2844.62,0.0719,0.0824,19.13,3.79,0.8068,,1202.6771428571428,0.04902857142857143,0.08687142857142857,3.6714285714285717,1,0,0,0,1,Moderate
2024-03-22,1,Campaign_1,unstable,Display,West,Mobile,27913,1191,83,1987.63,6636.22,2363.34,0.0427,0.0697,23.95,2.34,0.841,,1251.3885714285716,0.04964285714285714,0.08642857142857141,3.802857142857143,0,0,0,0,0,Normal
2024-03-23,1,Campaign_1,unstable,Display,West,Mobile,29844,839,39,896.84,1998.66,1028.35,0.0281,0.0465,23.0,1.23,0.8721,,1234.7628571428572,0.04505714285714286,0.08611428571428571,3.2414285714285715,0,1,1,0,2,Moderate
2024-03-24,1,Campaign_1,unstable,Display,West,Mobile,25046,604,19,1054.25,2086.35,1395.99,0.0241,0.0315,55.49,0.98,0.7552,,1205.2142857142858,0.04248571428571429,0.07368571428571428,3.0328571428571434,0,1,1,0,2,Moderate
2024-03-25,1,Campaign_1,unstable,Display,West,Mobile,20837,2042,171,3643.63,16665.71,4662.44,0.098,0.0837,21.31,3.57,0.7815,,1583.0142857142857,0.04755714285714285,0.07010000000000001,2.6999999999999997,1,0,0,0,1,Moderate
2024-03-26,1,Campaign_1,unstable,Display,West,Mobile,18469,1799,194,1797.67,17758.24,2215.56,0.0974,0.1078,9.27,8.88,0.8114,,1769.4685714285715,0.05827142857142858,0.06764285714285714,3.128571428571429,0,0,0,0,0,Normal
2024-03-27,1,Campaign_1,unstable,Display,West,Mobile,21765,1447,67,2057.21,5177.84,2289.58,0.0665,0.0463,30.7,1.52,0.8985,,1961.7600000000002,0.06124285714285715,0.06684285714285713,3.1871428571428573,0,0,0,0,0,Normal
2024-03-28,1,Campaign_1,unstable,Display,West,Mobile,21865,2168,141,4151.31,8153.3,5273.72,0.0992,0.065,29.44,0.96,0.7872,,2226.934285714286,0.06514285714285714,0.06435714285714286,2.782857142857143,1,0,0,0,1,Moderate
2024-03-29,1,Campaign_1,unstable,Display,West,Mobile,26231,1796,210,1544.65,20905.69,1987.18,0.0685,0.1169,7.36,12.53,0.7773,,2163.6514285714284,0.06882857142857143,0.07110000000000001,4.238571428571428,0,0,0,0,0,Normal
2024-03-30,1,Campaign_1,unstable,Display,West,Mobile,15530,1476,73,1180.42,6707.13,1467.99,0.095,0.0495,16.17,4.68,0.8041,,2204.162857142857,0.07838571428571428,0.07152857142857143,4.731428571428571,0,0,0,0,0,Normal
2024-01-01,2,Campaign_2,efficient_low_scale,Search,North,Desktop,10114,738,99,581.95,10694.53,690.54,0.073,0.1341,5.88,17.38,0.8427,,,,,,0,0,0,0,0,Normal
2024-01-02,2,Campaign_2,efficient_low_scale,Search,North,Desktop,9800,671,128,737.62,13105.52,917.87,0.0685,0.1908,5.76,16.77,0.8036,,,,,,0,0,0,0,0,Normal
2024-01-03,2,Campaign_2,efficient_low_scale,Search,North,Desktop,8242,508,97,558.49,7470.35,701.98,0.0616,0.1909,5.76,12.38,0.7956,,626.02,0.0677,0.17193333333333335,15.51,0,0,0,0,0,Normal
2024-01-04,2,Campaign_2,efficient_low_scale,Search,North,Desktop,6704,434,70,570.76,8212.11,684.22,0.0647,0.1613,8.15,13.39,0.8342,,612.205,0.06695,0.169275,14.98,0,0,0,0,0,Normal
2024-01-05,2,Campaign_2,efficient_low_scale,Search,North,Desktop,6361,306,54,304.53,6225.02,375.83,0.0481,0.1765,5.64,19.44,0.8103,,550.67,0.06318,0.17071999999999998,15.872,0,0,0,0,0,Normal
2024-01-06,2,Campaign_2,efficient_low_scale,Search,North,Desktop,10199,612,99,605.32,9359.19,704.05,0.06,0.1618,6.11,14.46,0.8598,,559.7783333333333,0.06265,0.16923333333333335,15.636666666666665,0,0,0,0,0,Normal
2024-01-07,2,Campaign_2,efficient_low_scale,Search,North,Desktop,5239,262,38,195.26,4731.27,242.02,0.05,0.145,5.14,23.23,0.8068,,507.70428571428573,0.06084285714285714,0.16577142857142854,16.72142857142857,0,0,0,0,0,Normal
2024-01-08,2,Campaign_2,efficient_low_scale,Search,North,Desktop,6595,504,66,343.04,5633.82,428.2,0.0764,0.131,5.2,15.42,0.8011,,473.5742857142858,0.061328571428571434,0.16532857142857144,16.44142857142857,0,0,0,0,0,Normal
2024-01-09,2,Campaign_2,efficient_low_scale,Search,North,Desktop,6603,450,59,477.46,6277.77,613.11,0.0682,0.1311,8.09,12.15,0.7788,,436.4085714285714,0.061285714285714284,0.1568,15.781428571428572,0,0,0,0,0,Normal
2024-01-10,2,Campaign_2,efficient_low_scale,Search,North,Desktop,6660,296,58,376.25,4493.83,495.7,0.0444,0.1959,6.49,10.94,0.759,,410.3742857142857,0.05882857142857143,0.1575142857142857,15.575714285714286,0,0,0,0,0,Normal
2024-01-11,2,Campaign_2,efficient_low_scale,Search,North,Desktop,6434,354,63,270.62,7387.85,330.89,0.055,0.178,4.3,26.3,0.8179,,367.4971428571429,0.05744285714285714,0.1599,17.419999999999998,0,0,0,0,0,Normal
2024-01-12,2,Campaign_2,efficient_low_scale,Search,North,Desktop,8084,435,64,517.65,6216.52,627.97,0.0538,0.1471,8.09,11.01,0.8243,,397.9428571428572,0.058257142857142855,0.1557,16.215714285714288,0,0,0,0,0,Normal
2024-01-13,2,Campaign_2,efficient_low_scale,Search,North,Desktop,5188,241,29,204.65,3388.06,236.38,0.0465,0.1203,7.06,15.56,0.8658,,340.7042857142857,0.05632857142857143,0.14977142857142858,16.372857142857146,0,0,0,0,0,Normal
2024-01-14,2,Campaign_2,efficient_low_scale,Search,North,Desktop,9050,709,93,660.57,6986.25,809.56,0.0783,0.1312,7.1,9.58,0.816,,407.1771428571429,0.06037142857142857,0.1478,14.422857142857143,0,0,0,0,0,Normal
2024-01-15,2,Campaign_2,efficient_low_scale,Search,North,Desktop,4812,232,44,177.27,3583.42,215.92,0.0482,0.1897,4.03,19.21,0.821,,383.49571428571426,0.05634285714285714,0.1561857142857143,14.964285714285714,0,0,0,0,0,Normal
2024-01-16,2,Campaign_2,efficient_low_scale,Search,North,Desktop,7957,462,74,440.11,6959.39,537.97,0.0581,0.1602,5.95,14.81,0.8181,,378.16,0.0549,0.16034285714285715,15.344285714285714,0,0,0,0,0,Normal
2024-01-17,2,Campaign_2,efficient_low_scale,Search,North,Desktop,10427,731,103,963.42,10464.25,1295.54,0.0701,0.1409,9.35,9.86,0.7436,,462.0414285714286,0.058571428571428566,0.1524857142857143,15.19,1,0,0,0,1,Moderate
2024-01-18,2,Campaign_2,efficient_low_scale,Search,North,Desktop,5288,328,46,248.26,4615.2,304.74,0.062,0.1402,5.4,17.59,0.8147,,458.84714285714284,0.05957142857142857,0.1470857142857143,13.945714285714287,0,0,0,0,0,Normal
2024-01-19,2,Campaign_2,efficient_low_scale,Search,North,Desktop,7751,383,49,304.31,5553.46,397.9,0.0494,0.1279,6.21,17.25,0.7648,,428.36999999999995,0.05894285714285714,0.14434285714285716,14.837142857142855,0,0,0,0,0,Normal
2024-01-20,2,Campaign_2,efficient_low_scale,Search,North,Desktop,9263,521,76,348.83,8207.58,457.68,0.0562,0.1459,4.59,22.53,0.7622,,448.96714285714285,0.06032857142857143,0.148,15.83285714285714,0,0,0,0,0,Normal
